,0
7133,3-152511435           
7134,3-152511435           
7135,3-152511435           
7136,3-151914516           
7137,3-151914516           
7138,3-151914516           
7139,3-152275112           
7140,3-152275112           
7141,3-152275112           
7142,3-152861095           
7143,3-152861095           
7144,3-152861095           
7145,3-152744746           
7146,3-152744746           
7147,3-152744746           
7148,3-152627657           
7149,3-152627657           
7150,3-152627657           
7151,3-152035186           
7152,3-152035186           
7153,3-152035186           
7154,3-152744591           
7155,3-152744591           
7156,3-152744591           
7157,3-152393206           
7158,3-152393206           
7159,3-152393206           
7160,3-151914224           
7161,3-151914224           
7162,3-151914224           
7163,3-152393262           
7164,3-152393262           
7165,3-152393262           
7166,3-134397921           
7167,3-134397921           
7168,3-134397921           
7169,3-134397921           
7170,3-135331713           
7171,3-135331713           
7172,3-135331713           
7173,3-136183502           
7174,3-136183502           
7175,3-136183502           
7176,3-136183581           
7177,3-136183581           
7178,3-136183581           
7179,3-135034081           
7180,3-135034081           
7181,3-135034081           
7182,3-135034081           
7183,3-132710733           
7184,3-133380249           
7185,3-133380249           
7186,3-133380249           
7187,3-133380249           
7188,3-132377346           
7189,3-132377346           
7190,3-132377346           
7191,3-132377346           
7192,3-133045022           
7193,3-133045022           
7194,3-133045022           
7195,3-133045022           
7196,3-135033979           
7197,3-135033979           
7198,3-135033979           
7199,3-135033979           
7200,3-133724680           
7201,3-133724680           
7202,3-133724680           
7203,3-133724680           
7204,3-133724680           
7205,3-133724741           
7206,3-133724741           
7207,3-133724741           
7208,3-133724741           
7209,3-133724741           
7210,3-135034124           
7211,3-135034124           
7212,3-135034124           
7213,3-135034124           
7214,3-135033825           
7215,3-135033825           
7216,3-135033825           
7217,3-135033825           
7218,3-135033825           
7219,3-133380321           
7220,3-133380321           
7221,3-132710621           
7222,3-132710621           
7223,3-133380493           
7224,3-133380493           
7225,3-133380552           
7226,3-133380552           
7227,3-133380552           
7228,3-133380552           
7229,3-134397863           
7230,3-134397863           
7231,3-134397863           
7232,3-134397863           
7233,3-134723484           
7234,3-134723484           
7235,3-134723484           
7236,3-134723484           
7237,3-135331835           
7238,3-135331835           
7239,3-135331835           
7240,3-135331835           
7241,3-135623891           
7242,3-135623891           
7243,3-135623891           
7244,3-135623891           
7245,3-135331694           
7246,3-135331694           
7247,3-135331694           
7248,3-135331694           
7249,3-135331584           
7250,3-135331584           
7251,3-135331584           
7252,3-135331584           
7253,3-134397594           
7254,3-134397594           
7255,3-134397594           
7256,3-134397594           
7257,3-134063947           
7258,3-134063947           
7259,3-134063947           
7260,3-134063947           
7261,3-134397919           
7262,3-134397919           
7263,3-134397919           
7264,3-134397919           
7265,3-134397919           
7266,3-135034004           
7267,3-135034004           
7268,3-135034004           
7269,3-135034004           
7270,3-141676034           
7271,3-141676034           
7272,3-141873854           
7273,3-141873854           
7274,3-142792250           
7275,3-142792250           
7276,7-9183284             
7277,7-9183284             
7278,3-142962932           
7279,3-142962932           
7280,3-142069912           
7281,3-142069912           
7282,3-141052478           
7283,3-141052478           
7284,3-142963145           
7285,3-142963145           
7286,3-141873923           
7287,3-141873923           
7288,3-141266643           
7289,3-141266643           
7290,3-141676119           
7291,3-141676119           
7292,3-143298802           
7293,3-143298802           
7294,3-142792049           
7295,3-142792049           
7296,3-140829007           
7297,3-140829007           
7298,3-141266621           
7299,3-141266621           
7300,3-141676053           
7301,3-141676053           
7302,3-142443268           
7303,3-142443268           
7304,3-141676094           
7305,3-142792159           
7306,3-142792159           
7307,3-143460156           
7308,3-143460156           
7309,3-142962941           
7310,3-142962941           
7311,3-142963092           
7312,3-142963092           
7313,3-141675922           
7314,3-141474540           
7315,3-141474540           
7316,7-9634340             
7317,7-9634340             
7318,7-9328546             
7319,7-9328546             
7320,3-142073058           
7321,3-141477784           
7322,3-141477784           
7323,3-141679245           
7324,3-141679245           
7325,3-141679245           
7326,3-141055415           
7327,3-141055415           
7328,3-141477717           
7329,3-141477717           
7330,3-141477679           
7331,3-141477679           
7332,3-140150227           
7333,3-140150227           
7334,3-141269885           
7335,3-141269885           
7336,3-141055561           
7337,3-141055561           
7338,3-139696516           
7339,3-139696516           
7340,3-140832181           
7341,3-140832181           
7342,3-140832181           
7343,3-141269779           
7344,3-141269779           
7345,3-140381771           
7346,3-140381771           
7347,3-140381771           
7348,3-140832141           
7349,3-140832141           
7350,3-140832141           
7351,3-140832141           
7352,3-140381704           
7353,3-140381704           
7354,3-141877188           
7355,3-141877188           
7356,3-141877188           
7357,3-141877188           
7358,3-141679249           
7359,3-141679249           
7360,3-141679249           
7361,3-141679249           
7362,3-141055549           
7363,3-141055549           
7364,3-141055549           
7365,3-140831910           
7366,3-140831910           
7367,3-140831910           
7368,3-141269636           
7369,3-141269636           
7370,3-141269636           
7371,3-139922920           
7372,3-139922920           
7373,3-139922920           
7374,3-139922920           
7375,3-139467488           
7376,3-139467488           
7377,3-139237304           
7378,3-139237304           
7379,3-139237304           
7380,3-140609066           
7381,3-140832133           
7382,3-140832133           
7383,3-140832133           
7384,3-141269542           
7385,3-141269542           
7386,3-117543154           
7387,3-117543154           
7388,3-117543158           
7389,3-117543158           
7390,3-116581246           
7391,3-116581246           
7392,3-117056688           
7393,3-117056688           
7394,3-117056688           
7395,3-116132958           
7396,3-116132958           
7397,3-117543250           
7398,3-117874518           
7399,3-116896236           
7400,3-116896236           
7401,3-116896362           
7402,3-116896362           
7403,3-117379905           
7404,3-117379905           
7405,3-117379905           
7406,3-117056644           
7407,3-117707892           
7408,3-117707892           
7409,3-117874402           
7410,3-117543438           
7411,3-116739562           
7412,3-116896467           
7413,3-116896467           
7414,3-116896467           
7415,3-117874487           
7416,3-117874487           
7417,3-117543220           
7418,3-117543220           
7419,3-117380049           
7420,3-117380049           
7421,3-117218125           
7422,3-117218125           
7423,3-116739358           
7424,3-116739358           
7425,3-117056554           
7426,3-117056554           
7427,3-116280335           
7428,3-116280298           
7429,3-116280298           
7430,3-116581259           
7431,3-116581259           
7432,3-117543263           
7433,3-117218393           
7434,3-124286452           
7435,3-124286452           
7436,3-124286452           
7437,3-124286452           
7438,3-124286477           
7439,3-124286477           
7440,3-124286477           
7441,3-124012637           
7442,3-124012637           
7443,3-124012637           
7444,3-124829429           
7445,3-124829429           
7446,3-125613916           
7447,3-125613916           
7448,3-125613916           
7449,3-125354412           
7450,3-125354412           
7451,3-125354412           
7452,3-123204866           
7453,3-123204866           
7454,3-123204866           
7455,3-124012513           
7456,3-124012513           
7457,3-124012513           
7458,3-124012513           
7459,3-124558374           
7460,3-124558374           
7461,3-124558374           
7462,3-124558374           
7463,3-124829362           
7464,3-124829362           
7465,3-124829362           
7466,3-124829362           
7467,3-123479223           
7468,3-123479223           
7469,3-123479223           
7470,3-123479223           
7471,3-123745737           
7472,3-123745737           
7473,3-123745737           
7474,3-123745737           
7475,3-124012584           
7476,3-124012584           
7477,3-124012584           
7478,3-124012584           
7479,3-123479270           
7480,3-123479270           
7481,3-123479270           
7482,3-123479270           
7483,3-112222059           
7484,3-112222059           
7485,3-112222059           
7486,3-112312305           
7487,3-112312305           
7488,3-113011312           
7489,3-113011312           
7490,3-113011312           
7491,3-112799623           
7492,3-112799623           
7493,3-112799623           
7494,3-112799581           
7495,3-112799581           
7496,3-112799581           
7497,3-112903597           
7498,3-112903597           
7499,3-112903597           
7500,3-112312194           
7501,3-112312194           
7502,3-112312194           
7503,3-112500157           
7504,3-112500157           
7505,3-112500157           
7506,3-112500180           
7507,3-112500180           
7508,3-112799692           
7509,3-112799692           
7510,3-112799692           
7511,3-113011249           
7512,3-113011249           
7513,3-112133379           
7514,3-112133379           
7515,3-112133379           
7516,3-112312179           
7517,3-112312179           
7518,3-112312179           
7519,3-113123428           
7520,3-113123428           
7521,3-113123428           
7522,7-8576839             
7523,7-8576839             
7524,7-8576839             
7525,3-112312287           
7526,3-112312287           
7527,3-112312287           
7528,3-112404842           
7529,3-112404842           
7530,3-112404842           
7531,3-112596692           
7532,3-112596692           
7533,3-112596692           
7534,3-112799734           
7535,3-112799734           
7536,3-112799734           
7537,3-112596785           
7538,3-112596785           
7539,3-112799649           
7540,3-112799649           
7541,3-112799649           
7542,3-113236294           
7543,3-113236294           
7544,3-113236294           
7545,3-113011268           
7546,3-113011268           
7547,3-113011268           
7548,3-113123285           
7549,3-113123285           
7550,3-113123285           
7551,3-112799381           
7552,3-112799381           
7553,3-112799381           
7554,3-113011076           
7555,3-113011076           
7556,3-113011076           
7557,3-112596558           
7558,3-112596558           
7559,3-112596558           
7560,3-112221987           
7561,3-112221987           
7562,3-112221987           
7563,3-112696422           
7564,3-112696422           
7565,3-112696422           
7566,3-125085554           
7567,3-125085554           
7568,3-125085571           
7569,3-125085571           
7570,7-9477013             
7571,7-9477013             
7572,3-125606967           
7573,3-125606967           
7574,7-9441032             
7575,7-9441032             
7576,3-127154820           
7577,57-1237665428627324943
7578,7-9619436             
7579,3-126639257           
7580,7-9459200             
7581,7-9459200             
7582,3-126378846           
7583,3-127413170           
7584,3-126899360           
7585,3-128258598           
7586,3-128258598           
7587,3-125347568           
7588,3-125347568           
7589,3-125347513           
7590,3-126899640           
7591,3-126899640           
7592,3-126379142           
7593,3-126379142           
7594,3-126379053           
7595,3-126379053           
7596,3-127687943           
7597,3-127687943           
7598,3-127687981           
7599,3-127687981           
7600,3-127154837           
7601,3-127154837           
7602,3-127413096           
7603,3-127413096           
7604,3-125869755           
7605,3-125869755           
7606,3-126638930           
7607,3-126638930           
7608,3-126379189           
7609,7-9595088             
7610,3-124005451           
7611,3-124279090           
7612,3-125869722           
7613,3-125606709           
7614,3-125606709           
7615,3-124278966           
7616,7-9464209             
7617,7-9464209             
7618,3-125606765           
7619,3-125606765           
7620,3-125347464           
7621,3-125347464           
7622,3-125347395           
7623,3-125347395           
7624,7-9711836             
7625,7-9711836             
7626,7-9498814             
7627,7-9498814             
7628,3-125606845           
7629,3-125606845           
7630,3-124822435           
7631,3-124822435           
7632,7-9458607             
7633,7-9458607             
7634,3-123738457           
7635,3-123738457           
7636,3-123738541           
7637,3-123738541           
7638,3-124279053           
7639,3-124279053           
7640,3-125085516           
7641,3-125085516           
7642,3-124551228           
7643,3-124551228           
7644,3-125347364           
7645,3-125347364           
7646,3-126127375           
7647,3-126127375           
7648,3-125869609           
7649,3-125869609           
7650,3-125606864           
7651,3-125606864           
7652,3-124550976           
7653,3-124550976           
7654,3-125085196           
7655,3-125085196           
7656,3-125085253           
7657,3-125085253           
7658,7-9459039             
7659,7-9459039             
7660,7-9507287             
7661,7-9507287             
7662,3-126378703           
7663,3-126378703           
7664,3-126638904           
7665,3-126638904           
7666,3-127687804           
7667,3-127687804           
7668,3-126638762           
7669,3-126638762           
7670,3-125869528           
7671,3-125869528           
7672,3-125869787           
7673,3-125869787           
7674,7-9439117             
7675,7-9439117             
7676,7-9439117             
7677,3-125606848           
7678,3-125606848           
7679,3-125606848           
7680,3-125606917           
7681,3-125606917           
7682,3-125606917           
7683,3-126899448           
7684,3-126899448           
7685,3-126899448           
7686,3-126638935           
7687,3-126638935           
7688,3-126638935           
7689,3-125085291           
7690,3-125085291           
7691,3-126378720           
7692,3-126638827           
7693,3-126638827           
7694,3-126638827           
7695,3-127412929           
7696,3-125347377           
7697,3-125869643           
7698,3-125869643           
7699,3-125869643           
7700,3-126378800           
7701,3-126378800           
7702,3-126378800           
7703,3-126378946           
7704,3-126378946           
7705,3-126378946           
7706,3-125869760           
7707,3-125869760           
7708,3-127154683           
7709,3-127154683           
7710,3-127154683           
7711,3-128258392           
7712,3-128258392           
7713,3-128258392           
7714,3-127412978           
7715,3-127412978           
7716,3-127154589           
7717,3-127154589           
7718,3-127154589           
7719,3-127154391           
7720,3-127154391           
7721,3-126127266           
7722,3-126127266           
7723,3-126638785           
7724,3-127687851           
7725,3-127687851           
7726,3-127687851           
7727,7-9451666             
7728,7-9451666             
7729,7-9451666             
7730,3-123198017           
7731,3-123198017           
7732,3-124822342           
7733,3-126379038           
7734,3-125347525           
7735,3-125347525           
7736,3-125869734           
7737,3-125869734           
7738,3-125869734           
7739,3-125607143           
7740,3-125607143           
7741,3-125607143           
7742,7-9523486             
7743,7-9523486             
7744,7-9523486             
7745,3-123472243           
7746,3-123472243           
7747,3-124822614           
7748,3-124822614           
7749,3-124822614           
7750,7-9517701             
7751,7-9517701             
7752,7-9517701             
7753,3-124279235           
7754,3-124279235           
7755,3-125347505           
7756,3-125347505           
7757,7-9500410             
7758,7-9500410             
7759,7-9500410             
7760,3-123472316           
7761,3-123472316           
7762,3-123472316           
7763,3-123738654           
7764,3-123738654           
7765,3-124551321           
7766,3-124551321           
7767,3-124279439           
7768,3-124279439           
7769,3-124279439           
7770,3-125085701           
7771,3-124005767           
7772,3-124005767           
7773,3-124005767           
7774,3-125869932           
7775,3-125869932           
7776,3-125869874           
7777,3-125869874           
7778,3-125869874           
7779,3-125085631           
7780,3-125085631           
7781,3-125085631           
7782,3-125606872           
7783,3-125606872           
7784,3-125606872           
7785,3-124279132           
7786,3-124279132           
7787,3-125085491           
7788,3-125085491           
7789,7-9556668             
7790,7-9556668             
7791,7-9556668             
7792,3-125085347           
7793,3-125085347           
7794,5-5555                
7795,5-5555                
7796,5-29772               
7797,5-29772               
7798,5-14867               
7799,5-14867               
7800,5-15154               
7801,5-15154               
7802,5-18351               
7803,5-18351               
7804,5-17599               
7805,5-17599               
7806,5-26741               
7807,5-26741               
7808,5-15628               
7809,5-15628               
7810,5-5077                
7811,5-5077                
7812,5-5558                
7813,5-14869               
7814,5-14869               
7815,5-116321              
7816,5-116321              
7817,5-116321              
7818,5-116321              
7819,5-113636              
7820,5-113636              
7821,5-113636              
7822,5-113636              
7823,5-70458               
7824,5-70458               
7825,5-70458               
7826,5-68766               
7827,5-68766               
7828,5-68766               
7829,5-70466               
7830,5-70466               
7831,5-70466               
7832,5-68767               
7833,5-86733               
7834,5-86733               
7835,5-86733               
7836,5-86733               
7837,5-116361              
7838,5-116361              
7839,5-113524              
7840,5-113522              
7841,5-113522              
7842,5-113522              
7843,5-113522              
7844,5-5009                
7845,5-5009                
7846,5-5009                
7847,5-5889                
7848,5-5889                
7849,5-5889                
7850,5-17942               
7851,5-17942               
7852,5-17942               
7853,5-28355               
7854,5-28355               
7855,5-28355               
7856,5-28355               
7857,5-25942               
7858,5-25942               
7859,5-25942               
7860,5-25952               
7861,5-25952               
7862,5-27643               
7863,5-27643               
7864,5-27643               
7865,5-27643               
7866,5-25945               
7867,5-25945               
7868,5-25945               
7869,5-25945               
7870,5-5506                
7871,5-5506                
7872,5-5506                
7873,5-8910                
7874,5-8910                
7875,5-8969                
7876,5-8969                
7877,5-8969                
7878,5-53580               
7879,5-53580               
7880,5-53388               
7881,5-53388               
7882,5-54778               
7883,5-54778               
7884,5-53473               
7885,5-53683               
7886,5-53683               
7887,5-54782               
7888,5-54782               
7889,5-53585               
7890,5-28873               
7891,5-27932               
7892,5-54629               
7893,5-53390               
7894,5-53390               
7895,5-192749              
7896,5-192749              
7897,5-28369               
7898,5-28369               
7899,5-192796              
7900,5-192796              
7901,5-28884               
7902,5-28884               
7903,5-27945               
7904,5-27945               
7905,5-28551               
7906,5-28551               
7907,5-28373               
7908,5-28373               
7909,5-28714               
7910,5-28714               
7911,5-27831               
7912,5-27831               
7913,5-17963               
7914,5-17963               
7915,5-28217               
7916,5-28217               
7917,5-194482              
7918,5-194482              
7919,5-28046               
7920,5-28046               
7921,5-28046               
7922,5-54485               
7923,5-54485               
7924,5-54485               
7925,5-194713              
7926,5-194713              
7927,5-53813               
7928,5-53813               
7929,5-54639               
7930,5-54639               
7931,5-54639               
7932,5-53595               
7933,5-53595               
7934,5-53595               
7935,5-54939               
7936,5-54939               
7937,5-53699               
7938,5-53820               
7939,5-53820               
7940,5-53820               
7941,5-27946               
7942,5-27946               
7943,5-28149               
7944,5-28149               
7945,5-28149               
7946,5-194714              
7947,5-194714              
7948,5-194714              
7949,5-8824                
7950,5-4572                
7951,5-18867               
7952,5-5036                
7953,5-5037                
7954,5-18894               
7955,5-17217               
7956,5-5040                
7957,5-17044               
7958,5-18869               
7959,5-30089               
7960,5-29680               
7961,5-27844               
7962,5-28153               
7963,5-28051               
7964,5-194609              
7965,5-28154               
7966,5-53402               
7967,5-54947               
7968,5-54501               
7969,5-194543              
7970,5-28156               
7971,5-27955               
7972,5-54499               
7973,5-18320               
7974,5-18320               
7975,5-27659               
7976,5-27659               
7977,5-27662               
7978,5-27662               
7979,5-27963               
7980,5-27963               
7981,5-27746               
7982,5-27746               
7983,5-28391               
7984,5-28735               
7985,5-28735               
7986,5-28571               
7987,5-28571               
7988,5-27749               
7989,5-27749               
7990,5-17555               
7991,5-17555               
7992,5-18326               
7993,5-18326               
7994,5-26032               
7995,5-26032               
7996,5-29707               
7997,5-29707               
7998,5-18863               
7999,5-18863               
8000,5-18879               
8001,5-18879               
8002,5-18937               
8003,5-18937               
8004,5-18916               
8005,5-18916               
8006,5-4139                
8007,5-4139                
8008,5-18941               
8009,5-18941               
8010,5-18904               
8011,5-18904               
8012,5-5050                
8013,5-5050                
8014,5-18906               
8015,5-18906               
8016,5-18881               
8017,5-18881               
8018,5-29689               
8019,7-5352343             
8020,7-5352343             
8021,7-5352343             
8022,3-119686756           
8023,3-119686756           
8024,3-119686559           
8025,3-118574063           
8026,3-118574063           
8027,3-117883125           
8028,3-119305351           
8029,3-118753802           
8030,3-118753802           
8031,3-119118403           
8032,3-119306181           
8033,3-118753223           
8034,3-119494848           
8035,3-119494848           
8036,3-118754234           
8037,3-118396831           
8038,3-119117848           
8039,3-119117848           
8040,3-119117848           
8041,7-5292973             
8042,7-5292973             
8043,7-5292973             
8044,3-118397296           
8045,3-119117968           
8046,3-119494803           
8047,3-119494803           
8048,3-119494313           
8049,3-119686903           
8050,3-118933288           
8051,3-118933288           
8052,3-118396767           
8053,3-119117532           
8054,3-118052841           
8055,3-118052841           
8056,3-118052841           
8057,3-118396948           
8058,3-118396948           
8059,3-118396948           
8060,3-119117784           
8061,3-119117784           
8062,3-119117784           
8063,3-119494583           
8064,3-119494583           
8065,3-118396932           
8066,3-118396932           
8067,3-158222731           
8068,3-158222731           
8069,3-157454498           
8070,3-157454498           
8071,3-157454498           
8072,3-158138474           
8073,3-158138474           
8074,3-157627894           
8075,3-157714267           
8076,3-157714267           
8077,3-158054279           
8078,3-158054279           
8079,3-157628173           
8080,3-157628173           
8081,3-157799875           
8082,3-157799875           
8083,3-157799875           
8084,3-158053938           
8085,3-158053938           
8086,3-158053938           
8087,3-157191882           
8088,3-157191882           
8089,3-157191882           
8090,3-157191818           
8091,3-157191818           
8092,3-157191818           
8093,3-157714360           
8094,3-157714360           
8095,3-158138759           
8096,3-158138759           
8097,3-157627763           
8098,3-157627763           
8099,3-157800227           
8100,3-157800227           
8101,3-157800227           
8102,3-157628417           
8103,3-157628417           
8104,3-157628417           
8105,3-157885438           
8106,3-157885438           
8107,3-157885438           
8108,3-158054145           
8109,3-158054145           
8110,3-158054145           
8111,3-158054356           
8112,3-158054356           
8113,3-158054356           
8114,3-157885155           
8115,3-157885155           
8116,3-157885155           
8117,3-157366694           
8118,3-157366694           
8119,3-157366694           
8120,3-157713851           
8121,3-157713851           
8122,3-157628191           
8123,3-157628191           
8124,3-157628191           
8125,3-157279601           
8126,3-157279601           
8127,3-157454421           
8128,3-157454421           
8129,3-157454421           
8130,3-157454142           
8131,3-157454142           
8132,3-157454142           
8133,3-157454309           
8134,3-157454309           
8135,3-157454309           
8136,3-157541230           
8137,3-157541230           
8138,3-157541230           
8139,7-5088121             
8140,7-5088121             
8141,3-157542170           
8142,3-157542170           
8143,3-157104547           
8144,3-157192165           
8145,3-157192165           
8146,3-156929887           
8147,3-157885948           
8148,3-157367920           
8149,3-157367920           
8150,3-157542116           
8151,3-157542116           
8152,3-157714532           
8153,3-157714532           
8154,3-157454765           
8155,3-156929982           
8156,3-156929982           
8157,3-157628924           
8158,3-157628924           
8159,3-157542153           
8160,3-157542153           
8161,3-157714572           
8162,3-157714572           
8163,3-157714651           
8164,3-157367892           
8165,3-157367892           
8166,3-157629006           
8167,3-157629006           
8168,3-157367695           
8169,3-157367695           
8170,3-157800802           
8171,3-157714721           
8172,3-157714721           
8173,3-157714843           
8174,3-157016916           
8175,3-157016916           
8176,3-157279995           
8177,3-157454739           
8178,3-157454739           
8179,3-157017041           
8180,3-157192602           
8181,3-157192602           
8182,3-157104645           
8183,3-157104645           
8184,7-4961930             
8185,7-4961930             
8186,3-157454743           
8187,7-3571070             
8188,3-158716192           
8189,3-158716192           
8190,7-3665208             
8191,7-3665208             
8192,3-158307798           
8193,3-158307798           
8194,3-158471955           
8195,3-158471955           
8196,3-158307256           
8197,3-158307256           
8198,7-3614636             
8199,7-3614636             
8200,3-159114191           
8201,3-159114191           
8202,3-158635208           
8203,3-158635208           
8204,3-158635470           
8205,3-158635470           
8206,3-159035979           
8207,3-159035979           
8208,3-158717176           
8209,3-158717176           
8210,3-159114275           
8211,3-159114275           
8212,3-158716795           
8213,3-158716795           
8214,3-158956757           
8215,3-158956757           
8216,3-158717075           
8217,3-158717075           
8218,3-158554124           
8219,3-158554124           
8220,3-158956328           
8221,3-158956328           
8222,3-158877012           
8223,3-158877012           
8224,3-158877264           
8225,3-158877264           
8226,3-158553748           
8227,3-158553748           
8228,3-158389244           
8229,3-158389244           
8230,3-158635380           
8231,3-158635380           
8232,3-158307493           
8233,3-158307493           
8234,3-158472080           
8235,3-158472080           
8236,3-158389593           
8237,3-158389593           
8238,3-158636051           
8239,3-158636051           
8240,3-158796890           
8241,3-158796890           
8242,3-158716881           
8243,3-158716881           
8244,3-159035979           
8245,3-159035979           
8246,3-158635194           
8247,3-158635194           
8248,3-158471955           
8249,3-158471955           
8250,3-158717176           
8251,3-158717176           
8252,3-158877869           
8253,3-158877869           
8254,3-158797308           
8255,3-158797308           
8256,3-158716957           
8257,3-158716957           
8258,7-3038067             
8259,7-3620274             
8260,7-3620274             
8261,3-158635171           
8262,3-158635171           
8263,3-158389471           
8264,3-158389471           
8265,3-159114491           
8266,3-159114491           
8267,3-158635156           
8268,3-158635156           
8269,3-158877767           
8270,3-158877767           
8271,3-158717075           
8272,3-158717075           
8273,3-158797525           
8274,3-158797525           
8275,3-158956516           
8276,3-158956516           
8277,3-158956178           
8278,3-158956178           
8279,3-158877012           
8280,3-158877012           
8281,3-158553748           
8282,3-158553748           
8283,3-158389244           
8284,3-158389244           
8285,3-158635380           
8286,3-158472080           
8287,3-158389490           
8288,3-158389490           
8289,3-158554124           
8290,3-158554124           
8291,7-2995553             
8292,7-2995553             
8293,3-158307379           
8294,3-158307379           
8295,7-703080              
8296,7-703080              
8297,3-159745691           
8298,3-159745691           
8299,3-159588884           
8300,3-159588884           
8301,3-159588884           
8302,3-159745060           
8303,3-159745060           
8304,3-159745060           
8305,3-159355221           
8306,3-159355221           
8307,7-805194              
8308,7-805194              
8309,3-159431925           
8310,3-159431925           
8311,7-1531796             
8312,3-159667495           
8313,3-159667495           
8314,7-1887164             
8315,7-1887164             
8316,7-1714083             
8317,7-1714083             
8318,3-159276966           
8319,3-159276966           
8320,3-159120521           
8321,3-159120521           
8322,3-159198515           
8323,3-159198515           
8324,3-159590422           
8325,3-159590422           
8326,3-159432977           
8327,3-159432977           
8328,3-159589825           
8329,3-159589825           
8330,3-159589188           
8331,3-159589188           
8332,3-159667895           
8333,3-159667895           
8334,3-159667895           
8335,3-159667673           
8336,3-159667673           
8337,3-159667673           
8338,3-159276233           
8339,3-159276233           
8340,3-159198923           
8341,3-159198923           
8342,3-159431951           
8343,3-159431951           
8344,3-159121358           
8345,3-159121358           
8346,3-159277276           
8347,3-159277276           
8348,3-159354969           
8349,3-159354969           
8350,3-159354969           
8351,3-159668139           
8352,3-159120937           
8353,3-159120937           
8354,3-153222271           
8355,3-153222271           
8356,3-153222271           
8357,3-153780552           
8358,3-153780552           
8359,3-153780552           
8360,7-2788028             
8361,7-2788028             
8362,7-2788028             
8363,3-154106520           
8364,3-154106520           
8365,3-154106520           
8366,3-153447528           
8367,3-153447528           
8368,3-153447528           
8369,3-152765583           
8370,3-152765583           
8371,3-152765583           
8372,3-152997017           
8373,3-153222202           
8374,3-153222202           
8375,3-153222202           
8376,3-153447562           
8377,3-153447562           
8378,3-153447562           
8379,3-153669969           
8380,3-153669969           
8381,3-153669969           
8382,3-152996751           
8383,3-152996751           
8384,3-152996751           
8385,3-152996187           
8386,3-152996187           
8387,3-152996187           
8388,3-153335579           
8389,3-153335579           
8390,3-153335579           
8391,3-152882717           
8392,3-152882717           
8393,7-3930242             
8394,7-3930242             
8395,7-3930242             
8396,7-3149730             
8397,7-3149730             
8398,7-3149730             
8399,3-141492026           
8400,3-141492026           
8401,3-141492026           
8402,7-3684101             
8403,7-3684101             
8404,7-3684101             
8405,7-3755072             
8406,7-3755072             
8407,7-3755072             
8408,3-139937745           
8409,3-139937745           
8410,3-139937745           
8411,3-140165166           
8412,3-140165166           
8413,3-140165166           
8414,3-139939332           
8415,3-139939332           
8416,3-139939332           
8417,3-140846699           
8418,3-140846699           
8419,3-140846699           
8420,3-140846407           
8421,3-140846407           
8422,3-140846407           
8423,3-139482375           
8424,3-139482375           
8425,3-139482375           
8426,3-139482647           
8427,7-3810303             
8428,7-3810303             
8429,7-3810303             
8430,3-141493366           
8431,3-141493366           
8432,3-141493366           
8433,7-3995836             
8434,7-3995836             
8435,7-3995836             
8436,3-141071794           
8437,3-141071794           
8438,3-141071794           
8439,3-140625240           
8440,3-140625240           
8441,3-140625240           
8442,3-140166399           
8443,3-140166399           
8444,3-140166399           
8445,3-141492596           
8446,3-141493374           
8447,3-140624572           
8448,3-141492440           
8449,3-141492440           
8450,3-141492440           
8451,3-140623454           
8452,3-140623454           
8453,3-140623454           
8454,3-140846685           
8455,3-140846685           
8456,3-140846685           
8457,3-139937501           
8458,3-139937501           
8459,3-139937501           
8460,3-139711457           
8461,3-139711457           
8462,3-139711457           
8463,3-140165438           
8464,3-140165438           
8465,3-140165438           
8466,3-139482093           
8467,3-139482093           
8468,3-139482093           
8469,7-13260000            
8470,7-13260000            
8471,3-160493564           
8472,7-13568176            
8473,7-13568176            
8474,3-160570268           
8475,3-160570268           
8476,3-160957300           
8477,3-160957300           
8478,3-160338773           
8479,3-160802136           
8480,3-160802136           
8481,3-160415925           
8482,3-160415925           
8483,3-160647993           
8484,3-160647993           
8485,3-161113544           
8486,3-161035337           
8487,3-160879895           
8488,3-160879895           
8489,3-160879925           
8490,3-160725803           
8491,3-160725803           
8492,3-160648032           
8493,3-160648032           
8494,3-160415577           
8495,3-160415577           
8496,3-160569882           
8497,3-160569882           
8498,3-160493274           
8499,3-160493274           
8500,3-160803059           
8501,3-160803059           
8502,3-160493507           
8503,3-160493507           
8504,3-160725603           
8505,3-160725603           
8506,3-160957877           
8507,3-160957877           
8508,3-160879926           
8509,3-160647602           
8510,3-160647602           
8511,3-161035288           
8512,3-161035288           
8513,3-160879485           
8514,3-160879485           
8515,3-160724801           
8516,3-160724801           
8517,3-160879666           
8518,3-160879666           
8519,3-161113619           
8520,3-161113619           
8521,7-18040053            
8522,7-18040053            
8523,3-4812053             
8524,3-4812053             
8525,3-4813198             
8526,3-4813198             
8527,3-6004943             
8528,3-6004943             
8529,7-18301995            
8530,7-18301995            
8531,3-5000813             
8532,3-5000813             
8533,3-6005748             
8534,3-6005748             
8535,3-4621005             
8536,3-4621005             
8537,7-17965159            
8538,7-17965159            
8539,3-4810870             
8540,3-4810870             
8541,3-5796733             
8542,3-5796733             
8543,3-4432494             
8544,3-4432494             
8545,3-4622193             
8546,3-4622193             
8547,3-4249007             
8548,3-4249007             
8549,3-5594426             
8550,3-5594426             
8551,3-4810879             
8552,3-4810879             
8553,3-5195329             
8554,3-5195329             
